Time(hh:mm:ss),Temperature(C),1,2,3,4,5,6,7,8,9,10,11,12,,,,
,,475.224,357.228,411.744,713.201,560.256,583.829,965.381,977.386,936.259,647.832,669.982,741.134,,,,
,,463.582,395.261,408.149,738.592,575.411,590.087,974.225,889.996,962.071,925.281,713.694,1076.385,,,,
,,467.532,390,413.96,742.205,562.875,606.415,1018.568,1018.36,940.602,941.165,925.768,883.402,,,,
,,1063.235,1062.345,1092.429,1117.218,1066.827,1089.29,1194.531,1412.576,1461.568,972.541,900.558,1036.072,,,,
,,160.375,159.068,159.01,160.761,164.688,178.148,172.519,180.582,184.176,56.102,55.069,56.736,,,,
,,,,,,,,,,,,,,,,,
23:00,37,299.314,290.108,290.903,433.583,417.559,409.181,571.561,630.976,703.108,167.77,179.016,216.295,,,,
,,294.71,280.423,281.519,454.84,386.207,383.01,580.175,560.105,702.335,659.783,611.017,637.657,,,,
,,292.276,284.088,287.813,458.097,366.464,378.954,557.47,627.337,695.659,663.078,612.128,777.158,,,,
,,481.656,357.881,421.712,721.697,575.698,606.891,971.592,1000.386,986.703,656.542,686.77,753.554,,,,
,,467.286,400.618,415.673,750.548,588.589,605.992,1006.028,919.432,991.113,956.565,724.657,1103.558,,,,
,,476.431,393.499,422.587,762.216,575.475,619.208,1014.84,1033.604,961.428,965.899,954.827,886.562,,,,
,,1090.971,1092.693,1078.762,1123.862,1096.27,1095.266,1217.681,1445.125,1451.735,989.604,919.084,1049.162,,,,
,,159.497,155.867,159.784,158.164,159.739,175.374,171.072,178.385,180.837,58.434,54.33,56.6,,,,
,,,,,,,,,,,,,,,,,
24:00:00,37,306.573,297.241,295.407,441.451,437.213,425.802,589.009,654.07,725.625,172.632,178.361,212.651,,,,
,,296.373,289.79,292.131,466.949,406.041,394.943,589.547,579.711,724.967,681.178,632.951,656.928,,,,
,,300.75,292.996,291.837,470.18,376.927,384.924,587.118,647.441,700.991,682.821,628.083,805.194,,,,
,,494.234,375.27,431.026,748.936,593.263,617.085,1000.716,1030.797,998.268,686.456,714.567,769.566,,,,
,,480.545,406.581,426.283,779.641,603.105,624.344,1019.837,947.163,1019.353,975.117,747.626,1130.997,,,,
,,495.238,407.781,435.08,790.353,597.746,637.115,1049.946,1056.192,984.61,987,968.083,927.644,,,,
,,1092.584,1091.895,1106.585,1139.865,1115.625,1113.468,1218.527,1441.757,1484.15,1025.363,943.421,1063.594,,,,
,,158.585,159.531,161.493,160.025,158.54,175.71,174.293,178.386,179.807,57.4,56.384,56.288,,,,
,,,,,,,,,,,,,,,,,
25:00:00,37,315.637,302.82,306.802,459.715,453.418,440.89,608.634,673.632,743.748,172.683,179.226,217.846,,,,
,,309.315,296.238,300.212,483.176,411.502,402.789,613.888,598.309,742.164,699.954,654.672,673.796,,,,
,,306.821,298.771,301.931,489.112,384.011,393.828,606.191,664.7,736.473,711.048,648.517,833.869,,,,
,,508.014,385.652,450.474,771.632,615.018,638.85,1025.53,1054.385,1029.451,706.675,732.538,801.525,,,,
,,497.714,427.546,442.91,795.296,630.284,648.393,1054.1,967.721,1049.746,1020.561,776.045,1150.203,,,,
,,500.843,418.195,451.47,825.473,605.32,665.479,1085.54,1105.982,1014.504,1018.754,1004.057,935.458,,,,
,,1130.413,1130.251,1117.869,1162.195,1138.293,1143.524,1237.807,1465.865,1523.77,1053.706,971.569,1105.105,,,,
,,161.26,160.191,162.229,160.178,162.661,174.865,170.645,181.298,181.353,57.391,55.891,55.9,,,,
,,,,,,,,,,,,,,,,,
26:00:00,37,319.965,309.24,310.751,462.465,461.951,444.273,632.697,690.8,768.75,168.75,179.617,211.32,,,,
,,310.482,301.346,304.59,497.083,422.861,416.467,623.796,614.041,767.079,727.139,671.849,690.597,,,,
,,308.89,302.249,305.819,496.669,402.677,403.883,615.159,687.583,759.11,727.591,679.126,847.14,,,,
,,520.575,390.704,456.157,792.37,633.375,653.242,1048.604,1084.646,1055.066,722.401,762.53,825.014,,,,
,,504.003,438.247,453.154,822.777,642.067,656.1,1059.069,1001.146,1063.373,1033.871,788.633,1171.921,,,,
,,523.622,431.439,455.104,831.434,631.112,677.055,1089.139,1105.284,1026.703,1049.446,1017.174,948.888,,,,
,,1116.222,1124.643,1150.7,1189.858,1143.615,1140.762,1242.363,1486.565,1539.137,1069.807,981.887,1125.484,,,,
,,157.879,165.111,160.968,159.729,161.802,175.965,171.339,181.308,181.613,56.06,57.272,56.554,,,,
,,,,,,,,,,,,,,,,,
27:00:00,37,327.488,317.873,322.84,481.305,473.19,463.788,652.161,714.092,800.824,172.011,182.99,214.958,,,,
,,323.101,314.959,315.702,510.421,432.058,434.348,660.653,637.326,804.019,745.456,695.463,718.005,,,,
,,315.996,311.849,316.223,523.377,415.595,419.929,634.982,707.625,770.522,743.128,707.224,883.992,,,,
,,536.488,410.038,474.69,820.944,647.99,671.849,1051.607,1137.37,1084.297,749.498,792.263,841.62,,,,
,,528.437,445.689,472.281,836.018,663.309,689.226,1082.723,1019.36,1098.19,1055.58,807.833,1204.284,,,,
,,540.464,441.459,460.248,877.398,659.912,712.123,1119.625,1142.881,1056.539,1081.509,1052.823,982.004,,,,
